DATA INVENTARIS BARANG SMK MUHAMMADIYAH 12 - TAHUN 2025,,,,,,,,,,,
NO,NAMA BARANG,MERK,KODE BARANG,TAHUN PENGADAAN,"FREKUENSI PEMAKAIAN
(1-5)","UMUR BARANG
(Tahun)","KONDISI FISIK
(1-5)","KELENGKAPAN
(1-5)",LABEL KONDISI,KETERANGAN,KATEGORI
154,LAN TASTER,—,PRKLT0012023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
155,LAN TASTER,—,PRKLT0022023,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Alat & Perkakas
156,LAN TASTER,—,PRKLT0032023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
157,LAN TASTER,—,PRKLT0042023,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Alat & Perkakas
158,LAN TASTER,—,PRKLT0052023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
159,LAN TASTER,—,PRKLT0062023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
160,LAN TASTER,—,PRKLT0072023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
161,LAN TASTER,—,PRKLT0082023,2025,5,1,5,4,LAYAK,—,Alat & Perkakas
162,LAN TASTER,—,PRKLT0092023,—,—,—,—,—,TIDAK DIKETAHUI,Tidak ditemukan,Alat & Perkakas
163,LAN TASTER,—,PRKLT0102024,2025,5,0,4,4,LAYAK,Instrumen baru,Alat & Perkakas
164,RING KABEL UTP KUNING,—,USKMARNG0012023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
165,RING KABEL UTP KUNING,—,USKMARNG0022023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
166,RING KABEL UTP KUNING,—,USKMARNG0032023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
167,RING KABEL UTP KUNING,—,USKMARNG0042023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
168,RING KABEL UTP KUNING,—,USKMARNG0052023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
169,RING KABEL UTP KUNING,—,USKMARNG0062023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
170,RING KABEL UTP KUNING,—,USKMARNG0072023,2024,3,4,2,2,KURANG LAYAK,—,Kabel & Aksesori
171,RING KABEL UTP KUNING,—,USKMARNG0082023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
172,RING KABEL UTP KUNING,—,USKMARNG0092023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
173,RING KABEL UTP KUNING,—,USKMARNG0102023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
174,RING KABEL UTP KUNING,—,USKMARNG0112023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
175,RING KABEL UTP KUNING,—,USKMARNG0122023,2024,3,4,2,2,KURANG LAYAK,—,Kabel & Aksesori
176,RING KABEL UTP KUNING,—,USKMARNG0132023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
177,RING KABEL UTP KUNING,—,USKMARNG0142023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
178,RING KABEL UTP KUNING,—,USKMARNG0152023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
179,RING KABEL UTP KUNING,—,USKMARNG0162023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
180,RING KABEL UTP KUNING,—,USKMARNG0172023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
181,RING KABEL UTP KUNING,—,PRKRNG0012023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
182,RING KABEL UTP KUNING,—,PRKRNG0022023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
183,RING KABEL UTP KUNING,—,PRKRNG0032023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
184,RING KABEL UTP KUNING,—,PRKRNG0042023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
185,RING KABEL UTP KUNING,—,PRKRNG0052023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
186,RING KABEL UTP KUNING,—,PRKRNG0062023,2024,3,4,2,2,KURANG LAYAK,—,Kabel & Aksesori
187,RING KABEL UTP KUNING,—,PRKRNG0072023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
188,RING KABEL UTP KUNING,—,PRKRNG0082023,2025,5,1,5,4,LAYAK,—,Kabel & Aksesori
189,KABEL POWER MIKROTIK,—,USKMAKPMK0012023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
190,KABEL POWER MIKROTIK,—,USKMAKPMK0022023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
191,KABEL POWER MIKROTIK,—,USKMAKPMK0032023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
192,KABEL POWER MIKROTIK,—,USKMAKPMK0042023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
193,KABEL POWER MIKROTIK,—,USKMAKPMK0052023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
194,KABEL POWER MIKROTIK,—,USKMASW0062023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
195,KABEL POWER MIKROTIK,—,USKMAKPMK0072023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
196,KABEL POWER MIKROTIK,—,USKMAKPMK0082023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
197,KABEL POWER MIKROTIK,—,USKMAKPMK0092023,2024,3,4,2,2,KURANG LAYAK,—,Perangkat Jaringan
198,KABEL POWER MIKROTIK,—,USKMAKPMK0102023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
199,KABEL POWER MIKROTIK,—,—,—,—,—,—,—,TIDAK DIKETAHUI,Kode tidak ada,Perangkat Jaringan
200,KABEL POWER MIKROTIK,—,USKMAKPMK0122023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
201,KABEL POWER MIKROTIK,—,USKMAKPMK0132023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
202,KABEL POWER MIKROTIK,—,USKMAKPMK0142023,2025,5,1,5,4,LAYAK,—,Perangkat Jaringan
